Summary,Issue Type,Priority,Epic Link,Description,Labels,Sprint
Fix Flutter color API regressions in dream screens,Bug Fix,Critical,Multi-Device Streaming Experience,"Replace deprecated Color.withValues usages in `frontend_flutter/lib/screens/home_screen.dart` and `frontend_flutter/lib/screens/session_screen.dart` with `withOpacity`/theme tokens, keep gradients consistent, and rerun `flutter analyze`.",Week1,Week 1
Repair SessionScreen audio status interpolation,Bug Fix,High,Multi-Device Streaming Experience,"Fix the invalid `'Gentle ${{true: 'looping', false: 'ready'}[_isAudioPlaying]}'` string in `session_screen.dart`, swap to a ternary, and add a widget test so audio state text no longer breaks compilation.",Week1,Week 1
Create Supabase migrations for profiles and sessions,Story,Critical,Database Schema & User Profile Management,"Add SQL migrations under `backend_supabase/` for `profiles`, `rituals`, `sessions`, and `session_assets` tables with primary keys, indexes, and RLS matching the current Flutter onboarding flow.",Week1,Week 1
Add shared config loader for Supabase and backend URLs,Story,High,Database Schema & User Profile Management,"Provide `.env.example` plus runtime config so `frontend_flutter/lib/main.dart`, `story_service.dart`, and `backend_fastapi/app/config.py` pull Supabase URL/keys and BACKEND_URL via `--dart-define`/env vars.",Week1,Week 1
Introduce Supabase client helper in FastAPI,Story,High,Database Schema & User Profile Management,"Create `backend_fastapi/app/supabase_client.py` (or similar) wrapping `supabase-py`, handling service-role auth, and exposing helpers for CRUD on profiles/sessions used inside the API routes.",Week1,Week 1
Persist generated stories to Supabase tables,Story,Critical,Database Schema & User Profile Management,"After `/api/v1/story` succeeds, insert story text, profile context, and asset URLs into Supabase via the new helper, updating `backend_fastapi/app/main.py` + Pydantic schemas.",Week2,Week 2
Make HuggingFace calls async-safe with timeouts,Story,High,Enhanced Story Generation Pipeline,"Wrap `StoryGenerator`, `NarrationGenerator`, and `VisualGenerator` calls in `asyncio.to_thread`, add request timeouts/retries on the `InferenceClient`, and bubble structured errors to FastAPI.",Week2,Week 2
Serve media via Supabase Storage signed URLs,Story,High,Enhanced Story Generation Pipeline,"Upload audio/video/frame files from `backend_fastapi/app/services.py` to Supabase Storage, return signed URLs, and stop serving local `/assets` static mounts.",Week2,Week 2
Improve VisualGenerator scene chunking fallback,Story,Medium,Enhanced Story Generation Pipeline,"Refine `VisualGenerator.create_frames` to evenly map paragraphs to `num_scenes`, truncate captions, and fall back to a placeholder image when HuggingFace image calls fail.",Week2,Week 2
Add PromptBuilder + generator unit tests,Story,Medium,Enhanced Story Generation Pipeline,"Add pytest coverage (e.g., `tests/test_prompting.py`) ensuring `PromptBuilder` enforces brand rules and mocked `StoryGenerator` respects `target_length`/profile context.",Week2,Week 2
Expose GET /api/v1/stories/history,Story,High,User Feedback & Learning System,"Add a paginated `GET /api/v1/stories/history` route that reads prior stories for the authenticated Supabase user using the new helper layer.",Week3,Week 3
Show recent sessions on HomeScreen,Story,Medium,User Feedback & Learning System,"Consume the history endpoint from `HomeScreen`, render a horizontal carousel of recent sessions (thumbnail + theme), and cache offline results.",Week3,Week 3
